0,1,2,3,4,5,6,7,8,9,10
root vegetables,frozen fruits,waffles,,,,,,,,
specialty chocolate,frankfurter,citrus fruit,candy,brown bread,,,,,,
oil,candy,,,,,,,,,
rolls/buns,sausage,whole milk,nuts/prunes,,,,,,,
whole milk,grapes,chocolate,pot plants,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
soda,other vegetables,,,,,,,,,
whipped/sour cream,butter milk,shopping bags,,,,,,,,
ham,whole milk,,,,,,,,,
tropical fruit,onions,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
yogurt,shopping bags,cake bar,yogurt,,,,,,,
sausage,dog food,,,,,,,,,
domestic eggs,beef,coffee,bottled beer,,,,,,,
whole milk,sliced cheese,,,,,,,,,
ready soups,baking powder,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
pork,curd,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
kitchen towels,sliced cheese,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
pastry,pickled vegetables,,,,,,,,,
berries,processed cheese,,,,,,,,,
bottled water,whole milk,,,,,,,,,
whipped/sour cream,citrus fruit,,,,,,,,,
beef,whole milk,root vegetables,whipped/sour cream,whipped/sour cream,other vegetables,,,,,
yogurt,root vegetables,,,,,,,,,
pork,berries,,,,,,,,,
seasonal products,soups,,,,,,,,,
whole milk,candy,,,,,,,,,
jam,brown bread,yogurt,,,,,,,,
rolls/buns,bottled beer,misc. beverages,salt,,,,,,,
other vegetables,domestic eggs,semi-finished bread,,,,,,,,
canned beer,whole milk,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
frankfurter,hard cheese,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
chocolate,curd cheese,,,,,,,,,
canned beer,specialty chocolate,other vegetables,cream cheese ,,,,,,,
coffee,shopping bags,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,coffee,,,,,,,,,
pip fruit,root vegetables,root vegetables,beverages,,,,,,,
long life bakery product,long life bakery product,whipped/sour cream,soda,,,,,,,
bottled beer,newspapers,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
other vegetables,butter,,,,,,,,,
whipped/sour cream,pip fruit,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
white bread,margarine,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
soda,curd,rolls/buns,,,,,,,,
pip fruit,spices,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
photo/film,soda,cream cheese ,,,,,,,,
bottled water,other vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,frankfurter,citrus fruit,bottled beer,soda,butter,oil,,,,
pork,soda,,,,,,,,,
sausage,other vegetables,hard cheese,,,,,,,,
hamburger meat,root vegetables,seasonal products,shopping bags,,,,,,,
chicken,brown bread,bottled beer,,,,,,,,
whole milk,bottled water,waffles,,,,,,,,
pip fruit,cake bar,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
UHT-milk,whole milk,newspapers,domestic eggs,,,,,,,
whole milk,soft cheese,pastry,,,,,,,,
coffee,pip fruit,,,,,,,,,
semi-finished bread,whole milk,fruit/vegetable juice,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
soda,curd cheese,root vegetables,semi-finished bread,,,,,,,
coffee,specialty vegetables,,,,,,,,,
liver loaf,hamburger meat,sausage,whole milk,whipped/sour cream,other vegetables,white bread,whole milk,rolls/buns,,
newspapers,coffee,,,,,,,,,
cat food,coffee,,,,,,,,,
butter,bottled water,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
root vegetables,whipped/sour cream,root vegetables,canned beer,,,,,,,
sausage,pastry,,,,,,,,,
bottled water,chocolate,,,,,,,,,
pip fruit,ice cream,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
pork,citrus fruit,,,,,,,,,
soda,mayonnaise,,,,,,,,,
pip fruit,sugar,,,,,,,,,
hamburger meat,whole milk,whipped/sour cream,,,,,,,,
tropical fruit,cat food,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
frozen meals,UHT-milk,,,,,,,,,
rolls/buns,whole milk,other vegetables,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
pastry,seasonal products,butter,bottled beer,,,,,,,
tropical fruit,pastry,salty snack,,,,,,,,
berries,pip fruit,,,,,,,,,
sausage,tropical fruit,yogurt,,,,,,,,
beef,onions,,,,,,,,,
rolls/buns,brandy,,,,,,,,,
seasonal products,flower (seeds),,,,,,,,,
sausage,other vegetables,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
long life bakery product,ice cream,,,,,,,,,
bottled water,canned beer,,,,,,,,,
pastry,pastry,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,prosecco,,,,,,,,,
specialty cheese,onions,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
rolls/buns,other vegetables,whipped/sour cream,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
specialty bar,shopping bags,pasta,,,,,,,,
ham,bottled water,margarine,,,,,,,,
frankfurter,dessert,,,,,,,,,
UHT-milk,coffee,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
ham,liquor (appetizer),,,,,,,,,
onions,other vegetables,,,,,,,,,
beef,ice cream,,,,,,,,,
sausage,grapes,,,,,,,,,
whole milk,brown bread,,,,,,,,,
chewing gum,coffee,sugar,,,,,,,,
sausage,bottled beer,,,,,,,,,
meat,whole milk,,,,,,,,,
pickled vegetables,onions,,,,,,,,,
beef,whole milk,,,,,,,,,
pork,pork,,,,,,,,,
soda,salty snack,butter milk,baking powder,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
newspapers,salty snack,,,,,,,,,
specialty chocolate,pork,,,,,,,,,
sausage,soda,,,,,,,,,
sausage,brown bread,,,,,,,,,
vinegar,whole milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,frozen meals,soda,,,,,,,,
soda,soda,cereals,,,,,,,,
make up remover,shopping bags,,,,,,,,,
frankfurter,sausage,brown bread,canned beer,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
whole milk,other vegetables,red/blush wine,coffee,other vegetables,bottled water,bottled water,sugar,,,
sausage,bottled water,whole milk,ketchup,soda,chewing gum,,,,,
citrus fruit,white bread,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
soda,chewing gum,,,,,,,,,
processed cheese,root vegetables,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pip fruit,waffles,,,,,,,,,
frozen fruits,dishes,,,,,,,,,
vinegar,dog food,,,,,,,,,
canned beer,organic sausage,tropical fruit,shopping bags,,,,,,,
pip fruit,sliced cheese,fruit/vegetable juice,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
fruit/vegetable juice,female sanitary products,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
dish cleaner,whole milk,frozen vegetables,waffles,,,,,,,
berries,soda,bottled beer,,,,,,,,
meat,butter milk,,,,,,,,,
whole milk,sugar,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
hard cheese,oil,,,,,,,,,
waffles,napkins,,,,,,,,,
citrus fruit,brown bread,specialty chocolate,,,,,,,,
bottled water,whole milk,domestic eggs,domestic eggs,,,,,,,
pip fruit,butter,,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
rolls/buns,whipped/sour cream,dishes,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
newspapers,dishes,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
hamburger meat,ice cream,chocolate,curd,,,,,,,
whole milk,bottled beer,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
sausage,chicken,canned beer,pip fruit,,,,,,,
pip fruit,butter milk,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
seasonal products,whole milk,soda,,,,,,,,
condensed milk,rolls/buns,,,,,,,,,
frankfurter,root vegetables,pastry,napkins,long life bakery product,,,,,,
pastry,red/blush wine,pickled vegetables,,,,,,,,
whole milk,canned beer,processed cheese,,,,,,,,
cream cheese ,sausage,whole milk,pip fruit,,,,,,,
meat,whole milk,whole milk,yogurt,,,,,,,
curd,soda,rolls/buns,,,,,,,,
canned beer,tropical fruit,newspapers,,,,,,,,
rolls/buns,other vegetables,butter,root vegetables,rolls/buns,,,,,,
curd,cake bar,ketchup,,,,,,,,
other vegetables,whole milk,bottled beer,,,,,,,,
sausage,sausage,bottled beer,spread cheese,,,,,,,
pastry,soda,semi-finished bread,white bread,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
pot plants,citrus fruit,,,,,,,,,
bottled beer,whole milk,salty snack,other vegetables,,,,,,,
ham,whole milk,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
beef,citrus fruit,tropical fruit,coffee,fruit/vegetable juice,specialty chocolate,,,,,
sausage,bottled beer,dessert,butter,cream cheese ,other vegetables,canned beer,brown bread,,,
curd,long life bakery product,,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
bottled water,margarine,,,,,,,,,
whole milk,bathroom cleaner,,,,,,,,,
soda,pork,,,,,,,,,
other vegetables,newspapers,rolls/buns,,,,,,,,
UHT-milk,salt,,,,,,,,,
pork,shopping bags,,,,,,,,,
ham,pickled vegetables,newspapers,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
vinegar,butter,newspapers,,,,,,,,
specialty chocolate,canned beer,,,,,,,,,
beverages,pastry,,,,,,,,,
meat,canned beer,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
pip fruit,pastry,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
butter,cleaner,red/blush wine,,,,,,,,
misc. beverages,whole milk,onions,yogurt,,,,,,,
rum,rolls/buns,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
soda,yogurt,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
brown bread,dishes,,,,,,,,,
pastry,whole milk,,,,,,,,,
specialty bar,whole milk,,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
meat,beverages,newspapers,candy,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
dessert,yogurt,shopping bags,,,,,,,,
frankfurter,pickled vegetables,,,,,,,,,
tropical fruit,sliced cheese,,,,,,,,,
brown bread,canned beer,,,,,,,,,
other vegetables,cat food,,,,,,,,,
newspapers,long life bakery product,napkins,,,,,,,,
frankfurter,butter milk,,,,,,,,,
whole milk,chocolate,,,,,,,,,
oil,misc. beverages,candy,yogurt,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
rolls/buns,grapes,yogurt,rolls/buns,whole milk,rolls/buns,,,,,
curd,soda,,,,,,,,,
whole milk,root vegetables,soda,,,,,,,,
pastry,candy,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
whipped/sour cream,cat food,,,,,,,,,
sausage,pip fruit,,,,,,,,,
whole milk,chocolate,,,,,,,,,
whole milk,soda,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
pet care,other vegetables,,,,,,,,,
brown bread,yogurt,,,,,,,,,
pip fruit,yogurt,citrus fruit,dental care,soda,shopping bags,,,,,
domestic eggs,shopping bags,,,,,,,,,
sausage,soda,,,,,,,,,
soda,root vegetables,,,,,,,,,
frankfurter,pip fruit,hygiene articles,,,,,,,,
herbs,sugar,,,,,,,,,
bottled beer,rolls/buns,whole milk,,,,,,,,
tropical fruit,bottled water,cream cheese ,,,,,,,,
canned beer,coffee,flour,,,,,,,,
root vegetables,ham,,,,,,,,,
root vegetables,specialty cheese,curd,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
napkins,pastry,,,,,,,,,
whole milk,flower (seeds),honey,,,,,,,,
pork,pastry,,,,,,,,,
whole milk,processed cheese,,,,,,,,,
chicken,coffee,newspapers,,,,,,,,
beef,liquor,,,,,,,,,
berries,fruit/vegetable juice,rolls/buns,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
whole milk,pot plants,domestic eggs,,,,,,,,
sausage,grapes,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
chicken,citrus fruit,butter,rolls/buns,soft cheese,specialty bar,,,,,
berries,grapes,,,,,,,,,
pork,pet care,margarine,,,,,,,,
other vegetables,whole milk,soda,oil,pastry,fruit/vegetable juice,newspapers,,,,
beef,oil,,,,,,,,,
meat,detergent,canned beer,,,,,,,,
beef,beef,,,,,,,,,
butter,whole milk,,,,,,,,,
whole milk,waffles,,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
butter,frozen vegetables,,,,,,,,,
newspapers,brown bread,,,,,,,,,
bottled water,yogurt,spices,fruit/vegetable juice,,,,,,,
sausage,other vegetables,frankfurter,coffee,pastry,bottled water,soda,whole milk,,,
whole milk,yogurt,shopping bags,,,,,,,,
other vegetables,rum,bottled water,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
fruit/vegetable juice,specialty bar,root vegetables,sliced cheese,butter,chocolate,,,,,
onions,hygiene articles,,,,,,,,,
soda,ice cream,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
pip fruit,frozen meals,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
white bread,pastry,whole milk,newspapers,,,,,,,
berries,chocolate marshmallow,,,,,,,,,
specialty chocolate,long life bakery product,,,,,,,,,
other vegetables,zwieback,,,,,,,,,
butter,root vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,butter,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
meat,curd,,,,,,,,,
white bread,seasonal products,,,,,,,,,
detergent,rolls/buns,,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
pip fruit,beef,whole milk,other vegetables,,,,,,,
whole milk,pastry,specialty cheese,,,,,,,,
yogurt,beverages,brown bread,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
other vegetables,salt,,,,,,,,,
pip fruit,UHT-milk,shopping bags,,,,,,,,
pastry,other vegetables,,,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
ham,bottled beer,,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
other vegetables,curd,beef,white bread,,,,,,,
tropical fruit,whipped/sour cream,specialty chocolate,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
rolls/buns,berries,,,,,,,,,
tropical fruit,berries,chocolate,,,,,,,,
frankfurter,root vegetables,fruit/vegetable juice,margarine,,,,,,,
soft cheese,pickled vegetables,,,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
soda,tropical fruit,domestic eggs,domestic eggs,,,,,,,
whole milk,frozen fish,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
chicken,margarine,,,,,,,,,
frankfurter,other vegetables,whole milk,ready soups,brandy,,,,,,
herbs,yogurt,misc. beverages,,,,,,,,
berries,long life bakery product,,,,,,,,,
bottled beer,oil,,,,,,,,,
dessert,pot plants,,,,,,,,,
semi-finished bread,shopping bags,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
oil,coffee,,,,,,,,,
pork,pip fruit,,,,,,,,,
chicken,oil,chocolate,candy,,,,,,,
packaged fruit/vegetables,pudding powder,shopping bags,coffee,,,,,,,
grapes,shopping bags,artif. sweetener,,,,,,,,
root vegetables,frankfurter,frankfurter,fruit/vegetable juice,bottled water,rolls/buns,detergent,bottled beer,male cosmetics,,
specialty bar,pickled vegetables,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
brown bread,misc. beverages,,,,,,,,,
yogurt,pot plants,,,,,,,,,
frankfurter,citrus fruit,bottled water,fruit/vegetable juice,,,,,,,
cream cheese ,beverages,,,,,,,,,
rolls/buns,other vegetables,chewing gum,,,,,,,,
pasta,yogurt,specialty bar,,,,,,,,
butter,potato products,,,,,,,,,
frozen meals,canned beer,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
canned beer,yogurt,tropical fruit,whole milk,,,,,,,
rolls/buns,margarine,,,,,,,,,
tropical fruit,grapes,whole milk,pastry,white bread,,,,,,
bottled beer,berries,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
long life bakery product,fruit/vegetable juice,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
sausage,sliced cheese,ice cream,long life bakery product,,,,,,,
root vegetables,soda,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
chicken,chocolate,,,,,,,,,
other vegetables,liquor,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
beverages,canned fish,,,,,,,,,
bottled water,Instant food products,,,,,,,,,
tidbits,other vegetables,,,,,,,,,
sausage,bottled water,,,,,,,,,
bottled beer,cat food,,,,,,,,,
cake bar,Instant food products,,,,,,,,,
soda,dessert,dishes,sugar,,,,,,,
pastry,bottled water,candles,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
pork,pastry,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
ice cream,canned beer,semi-finished bread,,,,,,,,
dessert,brown bread,,,,,,,,,
zwieback,cream cheese ,,,,,,,,,
dessert,chocolate,,,,,,,,,
grapes,other vegetables,,,,,,,,,
canned beer,sausage,butter,other vegetables,salty snack,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
specialty cheese,other vegetables,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
sliced cheese,frozen chicken,,,,,,,,,
cream cheese ,candles,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
soda,white wine,processed cheese,,,,,,,,
chicken,curd,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
pickled vegetables,flour,,,,,,,,,
butter,soft cheese,,,,,,,,,
sugar,shopping bags,,,,,,,,,
soda,other vegetables,frozen vegetables,,,,,,,,
meat,other vegetables,,,,,,,,,
domestic eggs,other vegetables,brown bread,,,,,,,,
onions,soda,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
citrus fruit,citrus fruit,specialty chocolate,cream cheese ,,,,,,,
white wine,whole milk,,,,,,,,,
soda,candy,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,yogurt,fruit/vegetable juice,,,,,,,,
pork,rolls/buns,,,,,,,,,
dessert,hamburger meat,,,,,,,,,
grapes,sparkling wine,canned beer,pastry,,,,,,,
ham,instant coffee,margarine,beef,long life bakery product,whole milk,house keeping products,semi-finished bread,,,
other vegetables,rolls/buns,specialty cheese,,,,,,,,
meat,whole milk,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
pastry,tropical fruit,citrus fruit,coffee,,,,,,,
frozen meals,soups,,,,,,,,,
liquor,rolls/buns,cream cheese ,,,,,,,,
canned beer,other vegetables,,,,,,,,,
sugar,whole milk,shopping bags,,,,,,,,
soda,napkins,,,,,,,,,
cream cheese ,salty snack,,,,,,,,,
liquor,baking powder,,,,,,,,,
soft cheese,onions,,,,,,,,,
sausage,pasta,,,,,,,,,
meat,liver loaf,,,,,,,,,
whole milk,sauces,,,,,,,,,
frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
other vegetables,coffee,,,,,,,,,
beverages,sausage,white bread,bottled water,,,,,,,
cookware,cream cheese ,,,,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
margarine,citrus fruit,oil,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
domestic eggs,sausage,bottled water,curd,frozen meals,hygiene articles,chocolate,rolls/buns,,,
meat,butter milk,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
sausage,yogurt,,,,,,,,,
root vegetables,whole milk,potato products,,,,,,,,
citrus fruit,chicken,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
sausage,butter,cream cheese ,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
butter,shopping bags,,,,,,,,,
frozen vegetables,pasta,,,,,,,,,
photo/film,vinegar,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
pastry,other vegetables,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,detergent,yogurt,snack products,,,,,,,
coffee,berries,,,,,,,,,
domestic eggs,whole milk,fruit/vegetable juice,,,,,,,,
meat,ham,,,,,,,,,
beef,other vegetables,,,,,,,,,
citrus fruit,canned beer,hygiene articles,chicken,whole milk,napkins,white wine,UHT-milk,shopping bags,,
ham,cake bar,whole milk,,,,,,,,
tropical fruit,whole milk,chocolate,,,,,,,,
white bread,coffee,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
bottled water,bottled water,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
domestic eggs,canned beer,bottled water,waffles,,,,,,,
tropical fruit,oil,,,,,,,,,
whole milk,flower (seeds),,,,,,,,,
soda,brown bread,,,,,,,,,
whole milk,soda,shopping bags,,,,,,,,
chicken,flower (seeds),,,,,,,,,
sausage,pastry,whole milk,,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
soap,brown bread,,,,,,,,,
cream cheese ,pickled vegetables,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
sausage,canned beer,,,,,,,,,
newspapers,chewing gum,,,,,,,,,
salt,cake bar,,,,,,,,,
misc. beverages,domestic eggs,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
tropical fruit,whole milk,margarine,bottled beer,,,,,,,
bottled water,bottled water,,,,,,,,,
yogurt,soda,,,,,,,,,
soda,grapes,,,,,,,,,
finished products,brown bread,dishes,,,,,,,,
berries,curd,,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
beef,tropical fruit,root vegetables,whole milk,cream cheese ,newspapers,,,,,
pork,yogurt,,,,,,,,,
butter,bottled beer,,,,,,,,,
liver loaf,processed cheese,,,,,,,,,
newspapers,frozen meals,,,,,,,,,
pip fruit,pastry,,,,,,,,,
misc. beverages,rice,soda,,,,,,,,
soda,soda,canned beer,frozen dessert,tropical fruit,whole milk,bottled water,specialty bar,domestic eggs,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,processed cheese,canned beer,,,,,,,,
other vegetables,beverages,,,,,,,,,
rolls/buns,canned beer,tropical fruit,chewing gum,margarine,,,,,,
butter,semi-finished bread,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
tropical fruit,butter,,,,,,,,,
citrus fruit,ham,,,,,,,,,
frankfurter,mustard,shopping bags,,,,,,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
canned beer,other vegetables,salty snack,,,,,,,,
meat spreads,tropical fruit,rolls/buns,,,,,,,,
sausage,mustard,,,,,,,,,
frankfurter,coffee,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
butter,rolls/buns,,,,,,,,,
ice cream,rolls/buns,bottled beer,canned beer,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
other vegetables,soda,brown bread,whole milk,yogurt,cling film/bags,brown bread,pastry,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
bottled water,brown bread,,,,,,,,,
newspapers,soups,,,,,,,,,
pork,chewing gum,canned fish,,,,,,,,
onions,instant coffee,,,,,,,,,
oil,other vegetables,rolls/buns,,,,,,,,
frozen vegetables,specialty bar,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
yogurt,frozen vegetables,waffles,,,,,,,,
chicken,UHT-milk,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
yogurt,sparkling wine,,,,,,,,,
margarine,pickled vegetables,,,,,,,,,
yogurt,tropical fruit,mayonnaise,curd,soft cheese,,,,,,
citrus fruit,whole milk,,,,,,,,,
pastry,coffee,,,,,,,,,
pork,soda,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
root vegetables,white bread,,,,,,,,,
whole milk,sweet spreads,soda,soda,,,,,,,
bottled water,bottled water,,,,,,,,,
cream cheese ,brown bread,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
soda,onions,pastry,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
whole milk,pastry,,,,,,,,,
sugar,pickled vegetables,fruit/vegetable juice,yogurt,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
ice cream,detergent,rolls/buns,,,,,,,,
citrus fruit,whole milk,rolls/buns,pastry,whipped/sour cream,,,,,,
beverages,sausage,,,,,,,,,
chocolate,butter,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
seasonal products,onions,,,,,,,,,
sausage,chocolate,semi-finished bread,whole milk,rum,bottled beer,,,,,
whole milk,root vegetables,,,,,,,,,
semi-finished bread,whole milk,mustard,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
other vegetables,butter,red/blush wine,,,,,,,,
citrus fruit,frozen meals,coffee,seasonal products,yogurt,soups,,,,,
frankfurter,whole milk,,,,,,,,,
pastry,sliced cheese,fruit/vegetable juice,,,,,,,,
pasta,tropical fruit,,,,,,,,,
liquor (appetizer),chocolate,soda,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
nuts/prunes,canned beer,other vegetables,shopping bags,,,,,,,
whole milk,onions,,,,,,,,,
frankfurter,napkins,,,,,,,,,
pork,other vegetables,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
newspapers,soda,,,,,,,,,
coffee,brown bread,,,,,,,,,
other vegetables,coffee,,,,,,,,,
liver loaf,processed cheese,canned beer,,,,,,,,
bottled beer,bottled water,shopping bags,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
domestic eggs,roll products ,,,,,,,,,
curd,beef,napkins,,,,,,,,
hygiene articles,canned fish,,,,,,,,,
bottled water,photo/film,,,,,,,,,
pork,yogurt,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
hamburger meat,shopping bags,,,,,,,,,
citrus fruit,beef,coffee,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
UHT-milk,flower soil/fertilizer,salty snack,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
yogurt,margarine,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
liver loaf,pip fruit,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
yogurt,bottled water,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frankfurter,pip fruit,whipped/sour cream,,,,,,,,
sausage,pip fruit,chocolate,,,,,,,,
sausage,newspapers,,,,,,,,,
sliced cheese,pudding powder,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
dessert,curd,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
